,Estimate; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Total households - Median household income (dollars),full_state_cluster,full_irsbrac_cluster,income_level,zi_irsbrac_cluster,full_quart_cluster,income_quartile,zi_quart_cluster,zi_state_cluster,full_sgroup_cluster,zi_sgroup_cluster,Group,Metro,State,zipcode,City,County,YoY,n1000,Total; Estimate; SUMMARY INDICATORS - Median age (years),Total; Estimate; SUMMARY INDICATORS - Sex ratio (males per 100 females),Total; Estimate; SUMMARY INDICATORS - Age dependency ratio,Total; Estimate; SUMMARY INDICATORS - Child dependency ratio,Estimate; HOUSEHOLDS BY TYPE - Average household size,"Estimate; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Unmarried women (widowed, divorced, and never married) - Per 1,000 unmarried women","Estimate; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Per 1,000 women 15 to 50 years old","Estimate; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Per 1,000 women 15 to 19 years old","Estimate; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Per 1,000 women 35 to 50 years old","Estimate; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea - Oceania",Estimate; ANCESTRY - Total population - Czech,Estimate; ANCESTRY - Total population - Danish,Estimate; ANCESTRY - Total population - Greek,Estimate; ANCESTRY - Total population - Lithuanian,Estimate; ANCESTRY - Total population - Slovak,Estimate; ANCESTRY - Total population - Swiss,Estimate; COMMUTING TO WORK - Mean travel time to work (minutes),Estimate; CLASS OF WORKER - Civilian employed population 16 years and over - Unpaid family workers
9461,70938.0,PA,2,2,2,1,1,1,PA,East North Central,East North Central,East North Central,Milwaukee-Waukesha-West Allis,WI,53040,Kewaskum,Washington County,0.04815864,0.0,41.6,86.9,66.7,39.5,2.68,15.0,44.0,0.0,4.0,0.0,96.0,16.0,4.0,20.0,4.0,59.0,23.4,4.0
9462,81587.0,PA,1,3,2,1,2,2,CA,South Atlantic,Pacific,Mountain,,CO,81224,Crested Butte,Gunnison County,0.119497908,0.0,36.7,120.5,51.1,34.6,2.52,0.0,50.0,0.0,0.0,3.0,158.0,0.0,0.0,4.0,20.0,49.0,13.6,110.0
9463,59943.0,PA,2,2,2,1,1,1,FL,East North Central,East North Central,New England,Burlington-South Burlington,VT,5488,Swanton,Franklin County,0.040911445,0.0,42.4,108.5,62.4,36.1,2.64,26.0,48.0,0.0,34.0,0.0,0.0,0.0,0.0,5.0,19.0,0.0,24.0,0.0
9464,48598.0,IN,2,1,1,1,1,1,NY,East North Central,South Atlantic,East North Central,South Bend-Mishawaka,MI,49031,Cassopolis,Cass County,0.141468683,0.0,48.4,97.7,74.5,32.8,2.41,39.0,23.0,10.0,0.0,0.0,8.0,17.0,33.0,35.0,0.0,10.0,26.4,7.0
9465,35397.0,TX,1,1,1,1,0,1,FL,West South Central,South Atlantic,Middle Atlantic,New York-Newark-Jersey City,NJ,7524,Paterson,Passaic County,0.121415771,0.0,33.0,93.2,68.6,47.7,3.25,25.0,23.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0
9466,84681.0,FL,4,3,2,1,2,2,CA,Middle Atlantic,Pacific,South Atlantic,Salisbury,DE,19930,Bethany Beach,Sussex County,-0.052735199,0.0,66.4,85.1,171.1,20.5,1.92,0.0,0.0,0.0,0.0,2.0,27.0,4.0,25.0,11.0,25.0,15.0,26.1,0.0
9467,46211.0,TX,2,1,1,1,0,1,PA,West South Central,South Atlantic,South Atlantic,Spartanburg,SC,29385,Wellford,Spartanburg County,0.092940125,0.0,34.1,86.6,65.3,47.1,2.74,43.0,50.0,0.0,27.0,0.0,6.0,0.0,8.0,0.0,16.0,0.0,24.4,16.0
9468,51131.0,CA,2,2,1,1,1,1,NY,West South Central,East North Central,West South Central,San Antonio-New Braunfels,TX,78112,Elmendorf,Bexar County,0.054985337,0.0,30.7,100.3,61.5,47.2,3.71,79.0,101.0,46.0,44.0,0.0,7.0,31.0,0.0,0.0,0.0,0.0,30.5,2.0
9469,55544.0,IN,2,2,2,1,1,1,CA,East North Central,Pacific,Pacific,Seattle-Tacoma-Bellevue,WA,98465,Tacoma,Pierce County,0.133170434,0.0,43.5,103.1,55.8,22.9,2.09,25.0,54.0,0.0,0.0,9.0,13.0,60.0,36.0,10.0,0.0,61.0,25.1,0.0
9470,50966.0,TX,2,2,1,1,1,1,FL,West South Central,East North Central,Mountain,,WY,82401,Worland,Washakie County,0.030429594,0.0,41.6,98.8,82.3,47.1,2.35,37.0,65.0,34.0,66.0,0.0,49.0,119.0,19.0,0.0,7.0,27.0,15.0,11.0
