,YoY,n1000,Total; Estimate; SUMMARY INDICATORS - Median age (years),Total; Estimate; SUMMARY INDICATORS - Sex ratio (males per 100 females),Total; Estimate; SUMMARY INDICATORS - Age dependency ratio,Total; Estimate; SUMMARY INDICATORS - Child dependency ratio,Estimate; HOUSEHOLDS BY TYPE - Average household size,"Estimate; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Unmarried women (widowed, divorced, and never married) - Per 1,000 unmarried women","Estimate; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Per 1,000 women 15 to 50 years old","Estimate; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Per 1,000 women 15 to 19 years old","Estimate; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Per 1,000 women 35 to 50 years old","Estimate; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea - Oceania",Estimate; ANCESTRY - Total population - Czech,Estimate; ANCESTRY - Total population - Danish,Estimate; ANCESTRY - Total population - Greek,Estimate; ANCESTRY - Total population - Lithuanian,Estimate; ANCESTRY - Total population - Slovak,Estimate; ANCESTRY - Total population - Swiss,Estimate; COMMUTING TO WORK - Mean travel time to work (minutes),Estimate; CLASS OF WORKER - Civilian employed population 16 years and over - Unpaid family workers
167,0.033440774,0.0,30.8,97.3,51.4,36.4,2.7,4.0,41.0,5.0,13.0,50.0,1927.0,207.0,154.0,21.0,29.0,66.0,17.6,19.0
168,0.027303754,0.0,22.6,115.1,30.0,19.6,2.54,10.0,31.0,2.0,21.0,82.0,358.0,204.0,201.0,300.0,156.0,401.0,17.6,87.0
169,0.082781457,3.0,41.6,86.5,59.5,29.8,2.21,19.0,50.0,0.0,36.0,55.0,120.0,74.0,155.0,55.0,28.0,315.0,20.4,0.0
170,0.033443241,1.0,35.6,93.3,53.4,34.3,2.36,27.0,52.0,0.0,26.0,0.0,450.0,191.0,76.0,61.0,73.0,235.0,18.1,90.0
171,0.09540636,0.0,37.8,92.4,62.6,42.2,2.72,9.0,46.0,0.0,12.0,15.0,161.0,229.0,252.0,63.0,130.0,254.0,36.1,0.0
172,0.056752278,0.0,30.9,95.8,69.7,52.3,3.47,40.0,56.0,25.0,21.0,0.0,38.0,179.0,176.0,31.0,28.0,44.0,36.8,40.0
173,-0.08804477699999999,1.0,38.8,74.1,46.9,20.0,1.89,2.0,25.0,0.0,41.0,338.0,166.0,198.0,402.0,171.0,156.0,133.0,31.1,62.0
174,0.177221655,1.0,40.5,97.9,60.0,33.0,2.66,36.0,52.0,48.0,27.0,83.0,85.0,182.0,181.0,46.0,20.0,105.0,24.8,16.0
175,0.105414471,1.0,41.3,96.1,62.8,35.8,2.62,17.0,44.0,7.0,26.0,6.0,538.0,145.0,1075.0,525.0,1582.0,89.0,29.2,45.0
176,-0.03302671,2.0,34.3,102.7,30.7,18.9,2.1,7.0,57.0,0.0,49.0,155.0,74.0,64.0,217.0,203.0,53.0,49.0,36.8,53.0
177,0.025641026,0.0,34.9,96.7,57.6,38.4,3.54,14.0,37.0,0.0,28.0,97.0,116.0,114.0,180.0,25.0,16.0,15.0,28.8,25.0
178,0.051272167,0.0,41.5,96.1,60.4,35.1,2.66,24.0,49.0,0.0,31.0,10.0,413.0,120.0,752.0,494.0,313.0,189.0,30.6,102.0
179,0.02745098,0.0,37.8,91.0,57.8,42.6,2.99,3.0,37.0,0.0,33.0,94.0,946.0,136.0,306.0,158.0,159.0,155.0,33.1,46.0
180,0.093962778,0.0,29.6,105.3,71.1,56.7,3.33,48.0,80.0,28.0,21.0,21.0,192.0,898.0,51.0,8.0,0.0,65.0,21.8,43.0
181,0.019885277,1.0,39.0,93.0,55.7,33.2,2.87,34.0,50.0,23.0,42.0,38.0,470.0,128.0,1127.0,124.0,68.0,124.0,37.9,32.0
182,0.040246618,0.0,34.1,105.2,43.3,27.4,3.22,9.0,52.0,4.0,25.0,21.0,77.0,144.0,208.0,156.0,45.0,106.0,22.2,0.0
183,0.075229358,1.0,35.5,84.4,64.1,41.4,2.55,52.0,54.0,13.0,21.0,0.0,40.0,19.0,0.0,99.0,22.0,17.0,23.3,5.0
184,0.198156682,0.0,31.0,99.6,61.9,46.9,2.9,56.0,75.0,49.0,24.0,0.0,166.0,88.0,78.0,34.0,0.0,33.0,30.5,17.0
185,0.059403303,2.0,32.5,99.2,59.5,43.8,3.73,49.0,57.0,15.0,31.0,113.0,52.0,142.0,131.0,16.0,36.0,58.0,33.8,107.0
186,0.028893242000000006,0.0,45.8,91.3,71.0,29.2,2.2,21.0,48.0,0.0,41.0,54.0,67.0,0.0,109.0,244.0,17.0,27.0,28.7,32.0
187,0.042424242,2.0,40.2,101.1,62.7,34.8,2.47,47.0,60.0,9.0,25.0,0.0,145.0,10.0,305.0,16.0,175.0,354.0,27.5,58.0
188,0.062998811,0.0,37.3,94.0,50.6,30.4,2.75,38.0,55.0,32.0,41.0,9.0,51.0,56.0,62.0,50.0,41.0,109.0,33.0,8.0
189,-0.042017818,0.0,33.4,97.9,29.9,17.8,2.11,9.0,33.0,0.0,42.0,74.0,435.0,568.0,377.0,221.0,141.0,565.0,27.1,62.0
190,0.03024911,0.0,29.3,94.4,50.6,37.6,2.46,35.0,59.0,20.0,19.0,20.0,88.0,76.0,111.0,0.0,24.0,17.0,21.0,35.0
191,0.051587302,0.0,32.1,95.1,64.1,55.2,3.23,6.0,42.0,0.0,19.0,94.0,271.0,442.0,352.0,132.0,64.0,45.0,30.0,0.0
192,0.061640065999999986,0.0,38.8,92.4,62.5,36.1,2.45,25.0,42.0,29.0,24.0,0.0,139.0,186.0,66.0,78.0,103.0,191.0,25.6,17.0
193,0.078782112,0.0,37.8,94.9,45.8,28.3,2.71,32.0,47.0,31.0,42.0,111.0,92.0,161.0,108.0,75.0,13.0,22.0,31.8,92.0
194,0.116293156,1.0,32.6,83.2,56.9,43.9,2.95,33.0,42.0,12.0,13.0,3.0,100.0,81.0,82.0,24.0,122.0,67.0,25.6,43.0
195,0.015625,2.0,40.6,95.3,58.3,31.4,2.55,42.0,67.0,0.0,37.0,11.0,473.0,184.0,792.0,87.0,147.0,169.0,28.6,62.0
196,0.03075944,1.0,33.7,96.3,61.0,40.1,3.42,23.0,42.0,4.0,25.0,120.0,98.0,139.0,144.0,39.0,4.0,49.0,27.7,74.0
197,0.039161392,0.0,34.7,100.9,59.5,47.3,3.22,24.0,59.0,13.0,24.0,21.0,679.0,133.0,106.0,69.0,40.0,147.0,30.4,36.0
